Spinosaurus_.11, {{15, 0.22}, {14, 0.18}, {20, 0.2}, {4, 0.24}, {8, 0.17}, {2, 0.16}, {9, 0.23}, {15, 0.21}, {13, 0.19}}
Spinosaurus_.10, {{11, 0.3}, {3, 0.32}, {14, 0.26}, {12, 0.25}, {14, 0.28}, {2, 0.22}, {4, 0.31}, {15, 0.27}, {10, 0.24}, {4, 0.23}, {11, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 0.99}}
Spinosaurus_.6, {{52, 0.95}, {17, 0.94}, {31, 0.96}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 0.99}}
Spinosaurus_.1, {{41, 0.95}, {1, 0.94}, {58, 0.96}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{6, 0.88}, {7, 0.85}, {33, 0.86}, {54, 0.87}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.02}}
Suchomimus.2, {{39, 0.15}, {6, 0.17}, {28, 0.16}, {1, 0.13}, {26, 0.14}}
Suchomimus.1, {{100, 0.02}}
Suchomimus, {{36, 0.15}, {3, 0.18}, {15, 0.17}, {32, 0.16}, {14, 0.14}}
Baryonyx, {{100, 1.0}}
