Taxon,AFA,ALA
Carentonosaurus_mineaui,14,14
Dallasaurus_turneri,15,15
Clidastes_sp.,17,17
Tylosaurus_sp.,14,18
Platecarpus_sp.,15,16
Metriorhynchid_indet.,9,10
Crocodylus_sp.,29,29
Phoca_vitulina,29,29
Balaenoptera_brydei,29,29
Crocodylus_niloticus,29,29
Struthio_camelus,29,29
Casuarius_casuarius,29,29
Eudyptes_chrysocome,29,29
Aptenodytes_patagonicus,29,29
Anas_platyrhynchos,29,29
Melanitta_nigra,29,29
Uria_aalge,29,29
Alca_torda,29,29
Pelecanus_sp.,29,29
Otis_tarda,29,29
Morus_bassanus,29,29
Ardea_cinerea,29,29
Dendrocopos_major,29,29
Dacelo_novaeguineae,29,29
Buteo_buteo,29,29
Phalacrocorax_carbo,29,29
Larus_argentatus,29,29
Fulmarus_glacialis,29,29
Corvus_corone,29,29
Ornithorhynchus_anatinus,29,29
Tachyglossus_aculeatus_setosus,29,29
Zaglossus_bruijni,29,29
Perameles_nasuta,29,29
Didelphis_sp.,29,29
Macropus_rufus,29,29
Vombatus_ursinus,29,29
Elephas_maximus,29,29
Dugong_dugon,29,29
Choloepus_didactylus,29,29
Galagoides_demidovii,29,29
Cercopithecus_mona,29,29
Gorilla_gorilla,29,29
Castor_fiber,29,29
Apodemus_sp.,29,29
Arvicola_amphibius,29,29
Dasyprocta__punctata,29,29
Myoprocta_pratti,29,29
Sciurus_vulgaris,29,29
Myocastor_coypus,29,29
Lepus_europaeus,29,29
Erinaceus_europaeus,29,29
Crocidura_russula,29,29
Galemys_pyrenaicus,29,29
Enhydra_lutris,29,29
Martes_martes,29,29
Martes_foina,29,29
Neovison_vison,29,29
Genetta_genetta,29,29
Canis_lupus,29,29
Vulpes_vulpes,29,29
Felis_silvestris,29,29
Panthera_leo_persica,29,29
Ursus_maritimus,29,29
Pteropus_giganteus,29,29
Rousettus_aegyptiacus,29,29
Eidolon_helvum,29,29
Pipistrellus_pipistrellus,29,29
Equus_caballus,29,29
Tapirus_indicus,29,29
Tapirus_terrestris,29,29
Rhinoceros_sondaicus,29,29
Ceratotherium_simum,29,29
Camelus_bactrianus,29,29
Sus_scrofa,29,29
Giraffa_camelopardalis,29,29
Bison_bison,29,29
Ovis_aries,29,29
Hemitragus_jayakari,29,29
Aepyceros_melampus,29,29
Cervus_elaphus_canadensis,29,29
Capreolus_capreolus,29,29
Hippopotamus_amphibius,29,29
Choeropsis_liberiensis,29,29
Orcinus_orca,29,29
Lissodelphis_borealis,29,29
Monodon_monoceros,29,29
Delphinapterus_leucas,29,29
Behemotops_katsuiei,22,22
Paleoparadoxia_sp,23,26
Ashoroa_laticosta,22,22
Desmostylus_hesperus,22,25
Trichechus_manatus,29,29
Procavia_capensis,29,29
Orycteropus_afer,29,29
Capra_aegagrus,29,29
Rangifer_tarandus,29,29
Tremarctos_ornatus,29,29
Basilosaurus,20,21
Dorudon,20,21
Rodhocetus,19,20
Nothosaurus_sp.,2,2
Serpianosaurus,2,2
Neusticosaurus,1,1
Ceresiosaurus,2,2
Mollesaurus,6,7
Lourinhanosaurus,11,12
Saltriovenator,4,5
Baryonyx,13,13
Spinosaurus,14,14
Charcarodontosaurid,14,15
Alamosaurus,18,18
Plateosaurus,3,3
Nanophoca_vitulinoides,24,25
Callophoca_obscura,27,27
Anas_discors,29,29
Anas_erythrorhyncha,29,29
Aninga_anhinga,29,29
Anseranas_semipalmata,29,29
Anser_fabalis,29,29
Apteryx_owenii,29,29
Aramus_guarana,29,29
Atlantisia_rogersi,29,29
Caloenas_nicobarica,29,29
Chaunia_chavaria,29,29
Cinclus_cinclus,29,29
Crypturellus_tataupa,29,29
Cygnus_olor,29,29
Gavia_immer,29,29
Glareola_pratincula,29,29
Goura_cristata,29,29
Nestor_notabilis,29,29
Pelagodroma_marina,29,29
Pelecanoides_urinatryx,29,29
Phaeton_aethereus,29,29
Phalacrocorax_harris,29,29
Phaenicopterus_roseus,29,29
Podica_senegalensis,29,29
Porphyrio_poliocephalus,29,29
Porzana_carolina,29,29
Psophia_crepitans,29,29
Sarothrura_rufa,29,29
Spheniscus_humboldti,29,29
Strigiops_habroptilus,29,29
Sula_dactylatra,29,29
Tachybaptus_ruficolus,29,29
Tachyeres_ciconia,29,29
Tribonyx_ventralis,29,29
Turdus_olivater,29,29
Uria_sp.,29,29
Xenicus_longipes,29,29
Spinophorosaurus_nigerensis,7,8
Apatosaurus_sp,11,12
Diplodocus_sp,11,12
Brachiosaurus_sp,11,12
Miragaia_longicollum,12,12
Mammuthus_primigenius,28,29
Ursus_spelaeus,29,29
Rhinocerus_unicornis,29,29
Bison_bonasus,29,29
Dasyurus_maculatus,29,29
Desmana_moschata,29,29
Diplomesodon_pulchellum,29,29
Euroscaptor_micrura,29,29
Hemiechinus_azurites,29,29
Lutra_vulgaris,29,29
Monodelphis_domestica,29,29
Mustela_nivalis,29,29
Noemys_fodies,29,29
Rhynchocyon_petersi,29,29
Taxidea_taxus,29,29
Tenrec_ecaudatus,29,29
Rattus_rattus,29,29
Microgale_thomasi,29,29
Hydromys_chrysogaster,29,29
